,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
0,1295903.0,1584583712000.0,1584583712000.0,,2,欧洲,10,意大利,,,28710,35713,0,4025,2978,,0.0,xudongdong,965008,ITA,Italy,https://file1.dxycdn.com/2020/0315/993/3402160517102843054-135.json
1,1295905.0,1584583712000.0,1584583712000.0,,2,欧洲,10,西班牙,,,12037,13716,0,1081,598,,0.0,xudongdong,965015,ESP,Spain,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json
2,1295897.0,1584583712000.0,1584583712000.0,,2,欧洲,10,德国,,,11810,11973,0,135,28,,0.0,xudongdong,963003,DEU,Germany,https://file1.dxycdn.com/2020/0315/631/3402160538577680475-135.json
3,1295933.0,1584583712000.0,1584583712000.0,,2,亚洲,10,伊朗,,,10516,17361,0,5710,1135,,0.0,xudongdong,955007,IRN,Iran (Islamic Republic of),https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json
4,1295891.0,1584583712000.0,1584583712000.0,,2,北美洲,8,美国,,,8306,8525,0,74,145,,0.0,xudongdong,971002,USA,United States of America,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json
5,1295888.0,1584583712000.0,1584583712000.0,,2,欧洲,5,法国,,,8268,9134,0,602,264,,0.0,xudongdong,961002,FRA,France,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json
6,,,,,2,亚洲,999,中国,,,7440,81237,0,70547,3250,,,,951001,CHN,China,https://file1.dxycdn.com/2020/0315/383/3402160527840261656-135.json
7,1295890.0,1584583712000.0,1584583712000.0,,2,亚洲,7,韩国,,,6941,8565,0,1540,84,,0.0,xudongdong,951004,KOR,Republic of Korea,https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json
8,1295942.0,1584583712000.0,1584583712000.0,,2,欧洲,10,瑞士,,,2748,2772,0,3,21,,0.0,xudongdong,963008,CHE,Switzerland,https://file1.dxycdn.com/2020/0315/786/3402160525692954837-135.json
9,1295997.0,1584583712000.0,1584583712000.0,,2,欧洲,10,英国,,,2457,2626,0,65,104,,0.0,xudongdong,961007,GBR,The United Kingdom,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json
10,1295953.0,1584583712000.0,1584583712000.0,,2,欧洲,10,荷兰,,,1993,2051,0,0,58,,0.0,xudongdong,961006,NLD,Netherlands,https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json
11,1295951.0,1584583712000.0,1584583712000.0,,2,欧洲,10,挪威,,,1556,1562,0,0,6,,0.0,xudongdong,962004,NOR,Norway,https://file1.dxycdn.com/2020/0315/616/3402160534282889764-135.json
12,1295918.0,1584583712000.0,1584583712000.0,,2,欧洲,10,比利时,,,1471,1486,0,1,14,,0.0,xudongdong,961001,BEL,Belgium,https://file1.dxycdn.com/2020/0315/838/3402160514955359353-135.json
13,1295944.0,1584583712000.0,1584583712000.0,,2,欧洲,10,奥地利,,,1323,1332,0,6,3,,0.0,xudongdong,963001,AUT,Austria,https://file1.dxycdn.com/2020/0315/012/3402160532135229192-135.json
14,1295906.0,1584583712000.0,1584583712000.0,,2,欧洲,10,瑞典,,,1268,1279,0,1,10,,0.0,xudongdong,962005,SWE,Sweden,https://file1.dxycdn.com/2020/0315/516/3402160512807875646-135.json
15,1295950.0,1584583712000.0,1584583712000.0,,2,欧洲,10,丹麦,,,1052,1057,0,1,4,,0.0,xudongdong,962001,DNK,Denmark,https://file1.dxycdn.com/2020/0315/831/3402160489185731552-135.json
16,1295889.0,1584583712000.0,1584583712000.0,,2,亚洲,6,日本,,,733,921,0,157,31,,0.0,xudongdong,951002,JPN,Japan,https://file1.dxycdn.com/2020/0315/220/3402160536430373556-135.json
17,1295887.0,1584583712000.0,1584583712000.0,,2,亚洲,4,马来西亚,,,728,790,0,60,2,,0.0,xudongdong,952007,MYS,Malaysia,https://file1.dxycdn.com/2020/0315/777/3402160506365601260-135.json
18,1295895.0,1584583712000.0,1584583712000.0,,2,北美洲,10,加拿大,,,708,727,0,10,9,,0.0,xudongdong,971001,CAN,Canada,https://file1.dxycdn.com/2020/0315/505/3402160534282712951-135.json
19,1295894.0,1584583712000.0,1584583712000.0,,2,大洋洲,10,澳大利亚,,,564,596,0,27,5,,0.0,xudongdong,990001,AUS,Australia,https://file1.dxycdn.com/2020/0315/646/3402160532135406038-135.json
20,1296004.0,1584583712000.0,1584583712000.0,,2,欧洲,10,捷克,,,519,522,0,3,0,,0.0,xudongdong,963002,CZE,Czechia,https://file1.dxycdn.com/2020/0315/497/3402160532135229255-135.json
21,1295947.0,1584583712000.0,1584583712000.0,,2,南美洲,10,巴西,,,510,514,0,0,4,,0.0,xudongdong,973003,BRA,Brazil,https://file1.dxycdn.com/2020/0315/559/3402160538577857305-135.json
22,1295998.0,1584583712000.0,1584583712000.0,,2,亚洲,10,卡塔尔,,,452,452,0,0,0,,0.0,xudongdong,955015,QAT,Qatar,https://file1.dxycdn.com/2020/0315/741/3402160510660391882-135.json
23,1296051.0,1584583712000.0,1584583712000.0,,2,欧洲,10,葡萄牙,,,444,448,0,3,1,,0.0,xudongdong,965010,PRT,Portugal,https://file1.dxycdn.com/2020/0315/256/3402160527840261777-135.json
24,1295934.0,1584583712000.0,1584583712000.0,,2,亚洲,10,以色列,,,428,433,0,5,0,,0.0,xudongdong,955009,ISR,Israel,https://file1.dxycdn.com/2020/0315/982/3402160514955536220-135.json
25,1295945.0,1584583712000.0,1584583712000.0,,2,欧洲,10,希腊,,,413,418,0,0,5,,0.0,xudongdong,965007,GRC,Greece,https://file1.dxycdn.com/2020/0315/800/3402160534282889817-135.json
26,1295999.0,1584583712000.0,1584583712000.0,,2,欧洲,10,爱尔兰,,,364,366,0,0,2,,0.0,xudongdong,961003,IRL,Ireland,https://file1.dxycdn.com/2020/0315/153/3402160510660568721-135.json
27,1295901.0,1584583712000.0,1584583712000.0,,2,欧洲,10,芬兰,,,358,359,0,1,0,,0.0,xudongdong,962002,FIN,Finland,https://file1.dxycdn.com/2020/0315/473/3402160538577857276-135.json
