,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,236092,1581951078000,1581951078000,,2,其他,10,钻石公主号邮轮,,,454,454,0,0,0,,0,qihongyue,0
1,235985,1581951078000,1581951078000,,2,亚洲,3,新加坡,,,53,77,0,24,0,,0,qihongyue,952009
2,235988,1581951078000,1581951078000,,2,亚洲,6,日本,,,49,62,0,12,1,,0,qihongyue,951002
3,235989,1581951078000,1581951078000,,2,亚洲,7,韩国,,,21,30,0,9,0,,0,qihongyue,951004
4,235984,1581951078000,1581951078000,,2,亚洲,2,泰国,,,20,34,0,14,0,,0,qihongyue,952010
5,235986,1581951078000,1581951078000,,2,亚洲,4,马来西亚,,,15,22,0,7,0,,0,qihongyue,952007
6,235996,1581951078000,1581951078000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,qihongyue,963003
7,235990,1581951078000,1581951078000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,qihongyue,971002
8,235991,1581951078000,1581951078000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,qihongyue,952011
9,235987,1581951078000,1581951078000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,qihongyue,961002
10,235994,1581951078000,1581951078000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,qihongyue,971001
11,235993,1581951078000,1581951078000,,2,大洋洲,10,澳大利亚,,,5,15,0,10,0,,0,qihongyue,990001
12,235999,1581951078000,1581951078000,,2,亚洲,10,阿联酋,,,5,9,0,4,0,,0,qihongyue,955019
13,236002,1581951078000,1581951078000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,qihongyue,965008
14,236005,1581951078000,1581951078000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,qihongyue,965015
15,235992,1581951078000,1581951078000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,qihongyue,953005
16,235997,1581951078000,1581951078000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,qihongyue,953007
17,236003,1581951078000,1581951078000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,qihongyue,961007
18,236006,1581951078000,1581951078000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,qihongyue,962005
19,236007,1581951078000,1581951078000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,qihongyue,952008
20,236046,1581951078000,1581951078000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,qihongyue,981002
21,235995,1581951078000,1581951078000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,qihongyue,952003
22,236000,1581951078000,1581951078000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,qihongyue,962002
23,236001,1581951078000,1581951078000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,qihongyue,953003
24,236004,1581951078000,1581951078000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,qihongyue,964006
25,236018,1581951078000,1581951078000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,qihongyue,961001
