,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,87009,1581572277000,1581572277000,,2,亚洲,6,日本,,,238,247,0,9,0,,0,wangbingbing,951002
1,87006,1581572277000,1581572277000,,2,亚洲,3,新加坡,,,35,50,0,15,0,,0,wangbingbing,952009
2,87005,1581572277000,1581572277000,,2,亚洲,2,泰国,,,23,33,0,10,0,,0,wangbingbing,952010
3,87010,1581572277000,1581572277000,,2,亚洲,7,韩国,,,21,28,0,7,0,,0,wangbingbing,951004
4,87007,1581572277000,1581572277000,,2,亚洲,4,马来西亚,,,15,18,0,3,0,,0,wangbingbing,952007
5,87017,1581572277000,1581572277000,,2,欧洲,10,德国,,,16,16,0,0,0,,0,wangbingbing,963003
6,87012,1581572277000,1581572277000,,2,亚洲,9,越南,,,12,15,0,3,0,,0,wangbingbing,952011
7,87014,1581572277000,1581572277000,,2,大洋洲,10,澳大利亚,,,10,15,0,5,0,,0,wangbingbing,990001
8,87011,1581572277000,1581572277000,,2,北美洲,8,美国,,,11,14,0,3,0,,0,wangbingbing,971002
9,87008,1581572277000,1581572277000,,2,欧洲,5,法国,,,11,11,0,0,0,,0,wangbingbing,961002
10,87024,1581572277000,1581572277000,,2,欧洲,10,英国,,,9,9,0,0,0,,0,wangbingbing,961007
11,87020,1581572277000,1581572277000,,2,亚洲,10,阿联酋,,,7,8,0,1,0,,0,wangbingbing,955019
12,87015,1581572277000,1581572277000,,2,北美洲,10,加拿大,,,5,7,0,2,0,,0,wangbingbing,971001
13,87022,1581572277000,1581572277000,,2,亚洲,10,印度,,,3,3,0,0,0,,0,wangbingbing,953003
14,87023,1581572277000,1581572277000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,wangbingbing,965008
15,87028,1581572277000,1581572277000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangbingbing,952008
16,87025,1581572277000,1581572277000,,2,欧洲,10,俄罗斯,,,2,2,0,0,0,,0,wangbingbing,964006
17,87026,1581572277000,1581572277000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,wangbingbing,965015
18,87013,1581572277000,1581572277000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,wangbingbing,953005
19,87016,1581572277000,1581572277000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,wangbingbing,952003
20,87018,1581572277000,1581572277000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,wangbingbing,953007
21,87021,1581572277000,1581572277000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,wangbingbing,962002
22,87027,1581572277000,1581572277000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,wangbingbing,962005
23,87039,1581572277000,1581572277000,,2,欧洲,10,比利时,,,1,1,0,0,0,,0,wangbingbing,961001
