,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,confirmedCountRank,suspectedCount,curedCount,deadCount,deadCountRank,deadRate,deadRateRank,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo,showRank
154,1689683.0,1585104137000.0,1585104137000.0,,2,北美洲,10,开曼群岛,,,4,5,,0,0,1,,20.00,,,0.0,yuyb,0,CYM,Cayman Islands,https://file1.dxycdn.com/2020/0317/570/3402535585859348238-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
155,1689671.0,1585104137000.0,1585104137000.0,,2,非洲,10,几内亚,,,4,4,,0,0,0,,0.00,,,0.0,yuyb,0,GIN,Guinea,https://file1.dxycdn.com/2020/0315/931/3402176481496577677-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
156,1689678.0,1585104137000.0,1585104137000.0,,2,北美洲,10,巴哈马,,,4,4,,0,0,0,,0.00,,,0.0,yuyb,974002,BHS,Bahamas,https://file1.dxycdn.com/2020/0318/647/3402666807847556532-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
157,1689679.0,1585104137000.0,1585104137000.0,,2,非洲,10,中非共和国,,,4,4,,0,0,0,,0.00,,,0.0,yuyb,983002,CAF,Central African Republic,https://file1.dxycdn.com/2020/0317/940/3402535592301799575-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
158,1689680.0,1585104137000.0,1585104137000.0,,2,非洲,10,刚果（布）,,,4,4,,0,0,0,,0.00,,,0.0,yuyb,0,COG,Congo,https://file1.dxycdn.com/2020/0317/267/3402535566531994221-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
159,1689687.0,1585104137000.0,1585104137000.0,,2,北美洲,10,格陵兰,,,4,4,,0,0,0,,0.00,,,0.0,yuyb,0,GRL,Greenland,https://file1.dxycdn.com/2020/0320/865/3403052100773836376-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
160,1689693.0,1585104137000.0,1585104137000.0,,2,北美洲,10,库拉索岛,,,3,4,,0,0,1,,25.00,,,0.0,yuyb,0,CW,Curaçao,https://file1.dxycdn.com/2020/0317/893/3402535572974445672-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
161,1689691.0,1585104137000.0,1585104137000.0,,2,北美洲,10,圣卢西亚,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,974011,LCA,Saint Lucia,https://file1.dxycdn.com/2020/0317/755/3402535592301799597-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
162,1689692.0,1585104137000.0,1585104137000.0,,2,北美洲,10,圣巴泰勒米岛,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,0,BL,Saint Barthelemy,https://file1.dxycdn.com/2020/0317/743/3402535562237228754-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
163,1689695.0,1585104137000.0,1585104137000.0,,2,非洲,10,利比里亚,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,982009,LBR,Liberia,https://file1.dxycdn.com/2020/0318/852/3402666792815603107-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
164,1689723.0,1585104137000.0,1585104137000.0,,2,非洲,10,赞比亚共和国,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,0,ZMB,The Republic of Zambia,https://file1.dxycdn.com/2020/0320/325/3403052105068803842-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
165,1689726.0,1585104137000.0,1585104137000.0,,2,北美洲,10,萨尔瓦多,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,972003,SLV,The Republic of El Salvador,https://file1.dxycdn.com/2020/0320/757/3403052105068803877-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
166,1689728.0,1585104137000.0,1585104137000.0,,2,非洲,10,吉布提,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,985002,DJI,The Republic of Djibouti,https://file1.dxycdn.com/2020/0320/252/3403052105069099844-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
167,1689729.0,1585104137000.0,1585104137000.0,,2,大洋洲,10,斐济,,,3,3,,0,0,0,,0.00,,,0.0,yuyb,990002,FJI,The Republic of Fiji,https://file1.dxycdn.com/2020/0320/440/3403052105069099849-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
