,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,953,1580027704000,1581044365000,,2,亚洲,6,日本,,,86,0,1,0,,0,xuyt,951002
1,950,1580027655000,1581044408000,,2,亚洲,3,新加坡,,,30,0,0,0,,0,xuyt,952009
2,949,1580027637000,1580830169000,,2,亚洲,2,泰国,,,25,0,5,0,,0,xuyt,952010
3,954,1580027721000,1581044443000,,2,亚洲,7,韩国,,,24,0,1,0,,0,xuyt,951004
4,958,1580027777000,1581065420000,,2,大洋洲,10,澳大利亚,,,15,0,2,0,,0,xuyt,990001
5,951,1580027668000,1581066539000,,2,亚洲,4,马来西亚,,,12,0,1,0,,0,xuyt,952007
6,955,1580027735000,1580957910000,,2,北美洲,8,美国,,,12,0,0,0,,0,xuyt,971002
7,1047,1580167302000,1580784147000,,2,欧洲,10,德国,,,12,0,0,0,,0,shiweiyi,963003
8,956,1580027751000,1580805000000,,2,亚洲,9,越南,,,10,0,1,0,,0,xuyt,952011
9,952,1580027683000,1580516875000,,2,欧洲,5,法国,,,6,0,0,0,,0,xuyt,961002
10,959,1580027795000,1580872782000,,2,北美洲,10,加拿大,,,5,0,0,0,,0,xuyt,971001
11,1650,1580276720000,1580621660000,,2,亚洲,10,阿联酋,,,5,0,0,0,,0,yuting,955019
12,1954,1580375521000,1580830226000,,2,亚洲,10,印度,,,3,0,0,0,,0,gaoh,953003
13,1957,1580425693000,1580516912000,,2,欧洲,10,意大利,,,2,0,0,0,,0,shiweiyi,965008
14,2280,1580464639000,1580495938000,,2,欧洲,10,英国,,,2,0,0,0,,0,leimanman,961007
15,2281,1580476133000,1580495947000,,2,欧洲,10,俄罗斯,,,2,0,0,0,,0,hekaiqi,964006
16,2870,1580566796000,1580614212000,,2,亚洲,10,菲律宾,,,2,0,0,1,,0,hekaiqi,952008
17,957,1580027764000,1580495955000,,2,亚洲,10,尼泊尔,,,1,0,0,0,,0,xuyt,953005
18,1023,1580130061000,1580495965000,,2,亚洲,10,柬埔寨,,,1,0,0,0,,0,hanting,952003
19,1306,1580182019000,1580495982000,,2,亚洲,10,斯里兰卡,,,1,0,0,0,,0,zhuotingting,953007
20,1656,1580337882000,1580495991000,,2,欧洲,10,芬兰,,,1,0,0,0,,0,zhuotingting,962002
21,2293,1580512517000,1580514491000,,2,欧洲,10,西班牙,,,1,0,0,0,,0,zhuotingting,965015
22,2596,1580516851000,1580516851000,,2,欧洲,10,瑞典,,,1,0,0,0,,0,leimanman,962005
23,4111,1580805540000,1580805540000,,2,欧洲,10,比利时,,,1,0,0,0,,0,qihongyue,961001
