,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
108,1160739.0,1584429696000.0,1584429696000.0,,2,非洲,10,加纳,,,6,6,0,0,0,,0.0,chend,982006,GHA,Ghana,https://file1.dxycdn.com/2020/0315/872/3402176468611675385-135.json
109,1160772.0,1584429696000.0,1584429696000.0,,2,亚洲,10,乌兹别克斯坦,,,6,6,0,0,0,,0.0,chend,954005,UZB,Uzbekstan,https://file1.dxycdn.com/2020/0317/423/3402535555794575352-135.json
110,1160775.0,1584429696000.0,1584429696000.0,,2,北美洲,10,瓜德罗普岛,,,6,6,0,0,0,,0.0,chend,0,GLP,Guadeloupe,https://file1.dxycdn.com/2020/0317/354/3402535547204842407-135.json
111,1160358.0,1584429695000.0,1584429695000.0,,2,欧洲,10,乌克兰,,,5,7,0,0,2,,0.0,chend,964007,UKR,Ukraine,https://file1.dxycdn.com/2020/0315/280/3402160525692954803-135.json
112,1160316.0,1584429695000.0,1584429695000.0,,2,北美洲,10,多米尼加,,,5,5,0,0,0,,0.0,chend,974006,DOM,Dominican Republic,https://file1.dxycdn.com/2020/0315/651/3402160506365601251-135.json
113,1160472.0,1584429695000.0,1584429695000.0,,2,非洲,10,喀麦隆,,,5,5,0,0,0,,0.0,chend,983001,CMR,Cameroon,https://file1.dxycdn.com/2020/0315/373/3402160506365424402-135.json
114,1160750.0,1584429696000.0,1584429696000.0,,2,非洲,10,埃塞俄比亚,,,5,5,0,0,0,,0.0,chend,985004,ETH,Ethiopia,https://file1.dxycdn.com/2020/0315/406/3402176464316707884-135.json
115,1160652.0,1584429695000.0,1584429695000.0,,2,北美洲,10,古巴,,,4,4,0,0,0,,0.0,chend,974004,CUB,Cuba,https://file1.dxycdn.com/2020/0315/600/3402160504218117572-135.json
116,1160765.0,1584429696000.0,1584429696000.0,,2,非洲,10,塞舌尔,,,4,4,0,0,0,,0.0,chend,985007,SYC,Seychelles,https://file1.dxycdn.com/2020/0317/101/3402535588007034097-135.json
117,1160653.0,1584429695000.0,1584429695000.0,,2,南美洲,10,圭亚那,,,3,4,0,0,1,,0.0,chend,973007,GUY,Guyana,https://file1.dxycdn.com/2020/0315/264/3402160506365424412-135.json
118,1160648.0,1584429695000.0,1584429695000.0,,2,非洲,10,刚果（金）,,,3,3,0,0,0,,0.0,chend,0,COD,Democratic Republic of the Congo,https://file1.dxycdn.com/2020/0315/118/3402160512808052491-135.json
