,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,477002,1582510138000,1582510138000,,2,亚洲,7,韩国,,,738,763,0,18,7,,0,wangjinyuan,951004
1,477033,1582510138000,1582510138000,,2,其他,10,钻石公主号邮轮,,,688,691,0,0,3,,0,wangjinyuan,0
2,477015,1582510138000,1582510138000,,2,欧洲,10,意大利,,,152,157,0,2,3,,0,wangjinyuan,965008
3,477001,1582510138000,1582510138000,,2,亚洲,6,日本,,,124,147,0,22,1,,0,wangjinyuan,951002
4,476998,1582510138000,1582510138000,,2,亚洲,3,新加坡,,,38,89,0,51,0,,0,wangjinyuan,952009
5,477058,1582510138000,1582510138000,,2,亚洲,10,伊朗,,,35,43,0,0,8,,0,wangjinyuan,955007
6,477003,1582510138000,1582510138000,,2,北美洲,8,美国,,,32,35,0,3,0,,0,wangjinyuan,971002
7,476997,1582510138000,1582510138000,,2,亚洲,2,泰国,,,14,35,0,21,0,,0,wangjinyuan,952010
8,477006,1582510138000,1582510138000,,2,大洋洲,10,澳大利亚,,,10,21,0,11,0,,0,wangjinyuan,990001
9,477012,1582510138000,1582510138000,,2,亚洲,10,阿联酋,,,9,13,0,4,0,,0,wangjinyuan,955019
10,476999,1582510138000,1582510138000,,2,亚洲,4,马来西亚,,,7,22,0,15,0,,0,wangjinyuan,952007
11,477000,1582510138000,1582510138000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,wangjinyuan,961002
12,477007,1582510138000,1582510138000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,wangjinyuan,971001
13,477004,1582510138000,1582510138000,,2,亚洲,9,越南,,,2,16,0,14,0,,0,wangjinyuan,952011
14,477009,1582510138000,1582510138000,,2,欧洲,10,德国,,,2,16,0,14,0,,0,wangjinyuan,963003
15,477016,1582510138000,1582510138000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,wangjinyuan,961007
16,477019,1582510138000,1582510138000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,wangjinyuan,962005
17,477020,1582510138000,1582510138000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangjinyuan,952008
18,477032,1582510138000,1582510138000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,wangjinyuan,981002
19,477073,1582510138000,1582510138000,,2,亚洲,10,以色列,,,1,1,0,0,0,,0,wangjinyuan,955009
20,477074,1582510138000,1582510138000,,2,亚洲,10,黎巴嫩,,,1,1,0,0,0,,0,wangjinyuan,955012
21,477180,1582510138000,1582510138000,,2,亚洲,10,伊拉克,,,1,1,0,0,0,,0,wangjinyuan,955008
22,477005,1582510138000,1582510138000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,wangjinyuan,953005
23,477008,1582510138000,1582510138000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,wangjinyuan,952003
24,477010,1582510138000,1582510138000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,wangjinyuan,953007
25,477013,1582510138000,1582510138000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,wangjinyuan,962002
26,477014,1582510138000,1582510138000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,wangjinyuan,953003
27,477017,1582510138000,1582510138000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,wangjinyuan,964006
28,477018,1582510138000,1582510138000,,2,欧洲,10,西班牙,,,0,2,0,2,0,,0,wangjinyuan,965015
29,477031,1582510138000,1582510138000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,wangjinyuan,961001
