,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,617533,1582878954000,1582878954000,,2,亚洲,7,韩国,,,2302,2337,0,22,13,,0,zhangjing1,951004
1,617564,1582878955000,1582878955000,,2,其他,10,钻石公主号邮轮,,,701,705,0,0,4,,0,zhangjing1,0
2,617546,1582878954000,1582878954000,,2,欧洲,10,意大利,,,591,653,0,45,17,,0,zhangjing1,965008
3,617532,1582878954000,1582878954000,,2,亚洲,6,日本,,,200,226,0,22,4,,0,zhangjing1,951002
4,617589,1582878955000,1582878955000,,2,亚洲,10,伊朗,,,195,270,0,49,26,,0,zhangjing1,955007
5,617534,1582878954000,1582878954000,,2,北美洲,8,美国,,,57,60,0,3,0,,0,zhangjing1,971002
6,617626,1582878955000,1582878955000,,2,亚洲,10,科威特,,,43,43,0,0,0,,0,zhangjing1,955011
7,617540,1582878954000,1582878954000,,2,欧洲,10,德国,,,34,48,0,14,0,,0,zhangjing1,963003
8,617627,1582878955000,1582878955000,,2,亚洲,10,巴林,,,33,33,0,0,0,,0,zhangjing1,955004
9,617529,1582878954000,1582878954000,,2,亚洲,3,新加坡,,,31,93,0,62,0,,0,zhangjing1,952009
10,617531,1582878954000,1582878954000,,2,欧洲,5,法国,,,25,38,0,11,2,,0,zhangjing1,961002
11,617549,1582878954000,1582878954000,,2,欧洲,10,西班牙,,,23,25,0,2,0,,0,zhangjing1,965015
12,617543,1582878954000,1582878954000,,2,亚洲,10,阿联酋,,,14,19,0,5,0,,0,zhangjing1,955019
13,617528,1582878954000,1582878954000,,2,亚洲,2,泰国,,,13,41,0,28,0,,0,zhangjing1,952010
14,617538,1582878954000,1582878954000,,2,北美洲,10,加拿大,,,10,14,0,4,0,,0,zhangjing1,971001
15,617537,1582878954000,1582878954000,,2,大洋洲,10,澳大利亚,,,8,23,0,15,0,,0,zhangjing1,990001
16,617631,1582878955000,1582878955000,,2,欧洲,10,瑞士,,,8,8,0,0,0,,0,zhangjing1,963008
17,617547,1582878954000,1582878954000,,2,欧洲,10,英国,,,7,15,0,8,0,,0,zhangjing1,961007
18,617550,1582878954000,1582878954000,,2,欧洲,10,瑞典,,,7,7,0,0,0,,0,zhangjing1,962005
19,617619,1582878955000,1582878955000,,2,亚洲,10,伊拉克,,,7,7,0,0,0,,0,zhangjing1,955008
20,617604,1582878955000,1582878955000,,2,亚洲,10,以色列,,,6,7,0,1,0,,0,zhangjing1,955009
21,617629,1582878955000,1582878955000,,2,亚洲,10,阿曼,,,6,6,0,0,0,,0,zhangjing1,955013
22,617530,1582878954000,1582878954000,,2,亚洲,4,马来西亚,,,5,23,0,18,0,,0,zhangjing1,952007
23,617605,1582878955000,1582878955000,,2,亚洲,10,黎巴嫩,,,3,3,0,0,0,,0,zhangjing1,955012
24,617630,1582878955000,1582878955000,,2,欧洲,10,克罗地亚,,,3,3,0,0,0,,0,zhangjing1,965005
25,617645,1582878955000,1582878955000,,2,欧洲,10,奥地利,,,3,3,0,0,0,,0,zhangjing1,963001
26,617722,1582878955000,1582878955000,,2,欧洲,10,希腊,,,3,3,0,0,0,,0,zhangjing1,965007
27,617723,1582878955000,1582878955000,,2,亚洲,10,巴基斯坦,,,2,2,0,0,0,,0,zhangjing1,953006
28,617544,1582878954000,1582878954000,,2,欧洲,10,芬兰,,,1,2,0,1,0,,0,zhangjing1,962002
29,617551,1582878954000,1582878954000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhangjing1,952008
30,617628,1582878955000,1582878955000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,zhangjing1,955001
31,617644,1582878955000,1582878955000,,2,非洲,10,阿尔及利亚,,,1,1,0,0,0,,0,zhangjing1,981001
32,617724,1582878955000,1582878955000,,2,南美洲,10,巴西,,,1,1,0,0,0,,0,zhangjing1,973003
33,617779,1582878955000,1582878955000,,2,欧洲,10,罗马尼亚,,,1,1,0,0,0,,0,zhangjing1,965011
34,617780,1582878955000,1582878955000,,2,欧洲,10,格鲁吉亚,,,1,1,0,0,0,,0,zhangjing1,955006
35,617781,1582878955000,1582878955000,,2,欧洲,10,爱沙尼亚,,,1,1,0,0,0,,0,zhangjing1,964002
36,617782,1582878955000,1582878955000,,2,欧洲,10,丹麦,,,1,1,0,0,0,,0,zhangjing1,962001
37,617783,1582878955000,1582878955000,,2,欧洲,10,挪威,,,1,1,0,0,0,,0,zhangjing1,962004
38,617784,1582878955000,1582878955000,,2,欧洲,10,北马其顿,,,1,1,0,0,0,,0,zhangjing1,0
39,617824,1582878955000,1582878955000,,2,欧洲,10,荷兰,,,1,1,0,0,0,,0,zhangjing1,961006
40,618013,1582878955000,1582878955000,,2,非洲,10,尼日利亚,,,1,1,0,0,0,,0,zhangjing1,982013
41,618014,1582878955000,1582878955000,,2,欧洲,10,北爱尔兰,,,1,1,0,0,0,,0,zhangjing1,0
42,618015,1582878955000,1582878955000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,zhangjing1,964004
43,618016,1582878955000,1582878955000,,2,大洋洲,10,新西兰,,,1,1,0,0,0,,0,zhangjing1,990007
44,618017,1582878955000,1582878955000,,2,欧洲,10,白俄罗斯,,,1,1,0,0,0,,0,zhangjing1,964001
45,617535,1582878954000,1582878954000,,2,亚洲,9,越南,,,0,16,0,16,0,,0,zhangjing1,952011
46,617536,1582878954000,1582878954000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,zhangjing1,953005
47,617539,1582878954000,1582878954000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhangjing1,952003
48,617541,1582878954000,1582878954000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,zhangjing1,953007
49,617545,1582878954000,1582878954000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,zhangjing1,953003
50,617548,1582878954000,1582878954000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhangjing1,964006
51,617562,1582878955000,1582878955000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,zhangjing1,961001
52,617563,1582878955000,1582878955000,,2,非洲,10,埃及,,,0,1,0,1,0,,0,zhangjing1,981002
