,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,38,1581314815000,1581338406000,,2,亚洲,6,日本,,,156,0,4,0,,0,wangbingbing,951002
1,35,1581314815000,1581338406000,,2,亚洲,3,新加坡,,,43,0,2,0,,0,wangbingbing,952009
2,34,1581314815000,1581338406000,,2,亚洲,2,泰国,,,32,0,10,0,,0,wangbingbing,952010
3,39,1581314815000,1581338406000,,2,亚洲,7,韩国,,,27,0,3,0,,0,wangbingbing,951004
4,36,1581314815000,1581338406000,,2,亚洲,4,马来西亚,,,18,0,1,0,,0,wangbingbing,952007
5,43,1581314815000,1581338406000,,2,大洋洲,10,澳大利亚,,,15,0,3,0,,0,wangbingbing,990001
6,41,1581314815000,1581338406000,,2,亚洲,9,越南,,,14,0,1,0,,0,wangbingbing,952011
7,46,1581314815000,1581338406000,,2,欧洲,10,德国,,,14,0,0,0,,0,wangbingbing,963003
8,40,1581314815000,1581338406000,,2,北美洲,8,美国,,,12,0,0,0,,0,wangbingbing,971002
9,37,1581314815000,1581338406000,,2,欧洲,5,法国,,,11,0,0,0,,0,wangbingbing,961002
10,44,1581314815000,1581338406000,,2,北美洲,10,加拿大,,,7,0,0,0,,0,wangbingbing,971001
11,49,1581314815000,1581338406000,,2,亚洲,10,阿联酋,,,7,0,0,0,,0,wangbingbing,955019
12,51,1581314815000,1581338406000,,2,亚洲,10,印度,,,3,0,0,0,,0,wangbingbing,953003
13,52,1581314815000,1581338406000,,2,欧洲,10,意大利,,,3,0,0,0,,0,wangbingbing,965008
14,53,1581314815000,1581338406000,,2,欧洲,10,英国,,,3,0,0,0,,0,wangbingbing,961007
15,57,1581314815000,1581338406000,,2,亚洲,10,菲律宾,,,3,0,0,1,,0,wangbingbing,952008
16,54,1581314815000,1581338406000,,2,欧洲,10,俄罗斯,,,2,0,0,0,,0,wangbingbing,964006
17,55,1581314815000,1581338406000,,2,欧洲,10,西班牙,,,2,0,0,0,,0,wangbingbing,965015
18,42,1581314815000,1581338406000,,2,亚洲,10,尼泊尔,,,1,0,0,0,,0,wangbingbing,953005
19,45,1581314815000,1581338406000,,2,亚洲,10,柬埔寨,,,1,0,0,0,,0,wangbingbing,952003
20,47,1581314815000,1581338406000,,2,亚洲,10,斯里兰卡,,,1,0,0,0,,0,wangbingbing,953007
21,50,1581314815000,1581338406000,,2,欧洲,10,芬兰,,,1,0,0,0,,0,wangbingbing,962002
22,56,1581314815000,1581338406000,,2,欧洲,10,瑞典,,,1,0,0,0,,0,wangbingbing,962005
23,81,1581314815000,1581338406000,,2,欧洲,10,比利时,,,1,0,0,0,,0,wangbingbing,961001
