,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
0,783274,1583379275000,1583379275000,,2,亚洲,7,韩国,,,5689,5766,0,41,36,,0,qimengxin,951004,KOR
1,783287,1583379275000,1583379275000,,2,欧洲,10,意大利,,,2706,3089,0,276,107,,0,qimengxin,965008,ITA
2,783317,1583379275000,1583379275000,,2,亚洲,10,伊朗,,,2278,2922,0,552,92,,0,qimengxin,955007,IRN
3,783304,1583379275000,1583379275000,,2,其他,10,钻石公主号邮轮,,,700,706,0,0,6,,0,qimengxin,0,Princess
4,783273,1583379275000,1583379275000,,2,亚洲,6,日本,,,279,331,0,46,6,,0,qimengxin,951002,JPN
5,783272,1583379275000,1583379275000,,2,欧洲,5,法国,,,241,257,0,12,4,,0,qimengxin,961002,FRA
6,783281,1583379275000,1583379275000,,2,欧洲,10,德国,,,226,240,0,14,0,,0,qimengxin,963003,DEU
7,783289,1583379275000,1583379275000,,2,欧洲,10,西班牙,,,162,165,0,2,1,,0,qimengxin,965015,ESP
8,783275,1583379275000,1583379275000,,2,北美洲,8,美国,,,139,153,0,3,11,,0,qimengxin,971002,USA
9,783400,1583379275000,1583379275000,,2,欧洲,10,英国,,,77,85,0,8,0,,0,qimengxin,961007,GBR
10,783326,1583379275000,1583379275000,,2,欧洲,10,瑞士,,,64,66,0,2,0,,0,qimengxin,963008,CHE
11,783321,1583379275000,1583379275000,,2,亚洲,10,科威特,,,56,56,0,0,0,,0,qimengxin,955011,KWT
12,783322,1583379275000,1583379275000,,2,亚洲,10,巴林,,,49,49,0,0,0,,0,qimengxin,955004,BHR
13,783290,1583379275000,1583379275000,,2,欧洲,10,瑞典,,,35,35,0,0,0,,0,qimengxin,962005,SWE
14,783344,1583379275000,1583379275000,,2,欧洲,10,挪威,,,34,34,0,0,0,,0,qimengxin,962004,NOR
15,783270,1583379275000,1583379275000,,2,亚洲,3,新加坡,,,33,112,0,79,0,,0,qimengxin,952009,SGP
16,783320,1583379275000,1583379275000,,2,亚洲,10,伊拉克,,,30,32,0,0,2,,0,qimengxin,955008,IRQ
17,783279,1583379275000,1583379275000,,2,北美洲,10,加拿大,,,29,33,0,4,0,,0,qimengxin,971001,CAN
18,783271,1583379275000,1583379275000,,2,亚洲,4,马来西亚,,,28,50,0,22,0,,0,qimengxin,952007,MYS
19,783286,1583379275000,1583379275000,,2,亚洲,10,印度,,,25,28,0,3,0,,0,qimengxin,953003,IND
20,783328,1583379275000,1583379275000,,2,欧洲,10,奥地利,,,24,24,0,0,0,,0,qimengxin,963001,AUT
21,783346,1583379275000,1583379275000,,2,欧洲,10,荷兰,,,24,24,0,0,0,,0,qimengxin,961006,NLD
22,783284,1583379275000,1583379275000,,2,亚洲,10,阿联酋,,,22,27,0,5,0,,0,qimengxin,955019,ARE
23,783302,1583379275000,1583379275000,,2,欧洲,10,比利时,,,22,23,0,1,0,,0,qimengxin,961001,BEL
24,783353,1583379275000,1583379275000,,2,欧洲,10,冰岛,,,20,20,0,0,0,,0,qimengxin,962003,ISL
25,783278,1583379275000,1583379275000,,2,大洋洲,10,澳大利亚,,,19,42,0,21,2,,0,qimengxin,990001,AUS
26,783318,1583379275000,1583379275000,,2,亚洲,10,以色列,,,14,15,0,1,0,,0,qimengxin,955009,ISR
27,783319,1583379275000,1583379275000,,2,亚洲,10,黎巴嫩,,,12,13,0,1,0,,0,qimengxin,955012,LBN
28,783269,1583379275000,1583379275000,,2,亚洲,2,泰国,,,11,43,0,31,1,,0,qimengxin,952010,THA
29,783324,1583379275000,1583379275000,,2,亚洲,10,阿曼,,,10,12,0,2,0,,0,qimengxin,955013,OMN
30,783325,1583379275000,1583379275000,,2,欧洲,10,克罗地亚,,,10,10,0,0,0,,0,qimengxin,965005,HRV
31,783343,1583379275000,1583379275000,,2,欧洲,10,丹麦,,,10,10,0,0,0,,0,qimengxin,962001,DNK
32,783405,1583379275000,1583379275000,,2,欧洲,10,圣马力诺,,,10,10,0,0,0,,0,qimengxin,965012,SMR
33,783329,1583379275000,1583379275000,,2,欧洲,10,希腊,,,9,9,0,0,0,,0,qimengxin,965007,GRC
34,783327,1583379275000,1583379275000,,2,非洲,10,阿尔及利亚,,,8,8,0,0,0,,0,qimengxin,981001,DZA
35,783401,1583379275000,1583379275000,,2,亚洲,10,卡塔尔,,,7,7,0,0,0,,0,qimengxin,955015,QAT
36,783404,1583379275000,1583379275000,,2,南美洲,10,厄瓜多尔,,,7,7,0,0,0,,0,qimengxin,973006,ECU
37,783285,1583379275000,1583379275000,,2,欧洲,10,芬兰,,,6,7,0,1,0,,0,qimengxin,962002,FIN
38,783350,1583379275000,1583379275000,,2,欧洲,10,白俄罗斯,,,6,6,0,0,0,,0,qimengxin,964001,BLR
39,783330,1583379275000,1583379275000,,2,亚洲,10,巴基斯坦,,,5,5,0,0,0,,0,qimengxin,953006,PAK
40,783352,1583379275000,1583379275000,,2,北美洲,10,墨西哥,,,5,6,0,1,0,,0,qimengxin,971003,MEX
41,783407,1583379275000,1583379275000,,2,欧洲,10,捷克,,,5,5,0,0,0,,0,qimengxin,963002,CZE
42,783502,1583379276000,1583379276000,,2,欧洲,10,葡萄牙,,,5,5,0,0,0,,0,qimengxin,965010,PRT
43,783341,1583379275000,1583379275000,,2,欧洲,10,罗马尼亚,,,3,4,0,1,0,,0,qimengxin,965011,ROM
44,783351,1583379275000,1583379275000,,2,亚洲,10,阿塞拜疆,,,3,3,0,0,0,,0,qimengxin,955003,AZE
45,783410,1583379275000,1583379275000,,2,亚洲,10,格鲁吉亚,,,3,3,0,0,0,,0,qimengxin,955006,GEO
46,783331,1583379275000,1583379275000,,2,南美洲,10,巴西,,,2,2,0,0,0,,0,qimengxin,973003,BRA
47,783349,1583379275000,1583379275000,,2,大洋洲,10,新西兰,,,2,2,0,0,0,,0,qimengxin,990007,NZL
48,783402,1583379275000,1583379275000,,2,欧洲,10,爱尔兰,,,2,2,0,0,0,,0,qimengxin,961003,IRL
49,783409,1583379275000,1583379275000,,2,亚洲,10,印度尼西亚,,,2,2,0,0,0,,0,qimengxin,952005,IDN
50,783499,1583379276000,1583379276000,,2,非洲,10,塞内加尔,,,2,2,0,0,0,,0,qimengxin,982014,SEN
51,783288,1583379275000,1583379275000,,2,欧洲,10,俄罗斯,,,1,3,0,2,0,,0,qimengxin,964006,RUS
52,783291,1583379275000,1583379275000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,qimengxin,952008,PHL
53,783303,1583379275000,1583379275000,,2,非洲,10,埃及,,,1,2,0,1,0,,0,qimengxin,981002,EGY
54,783323,1583379275000,1583379275000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,qimengxin,955001,AFG
55,783342,1583379275000,1583379275000,,2,欧洲,10,爱沙尼亚,,,1,1,0,0,0,,0,qimengxin,964002,EST
56,783345,1583379275000,1583379275000,,2,欧洲,10,北马其顿,,,1,1,0,0,0,,0,qimengxin,0,MKD
57,783347,1583379275000,1583379275000,,2,非洲,10,尼日利亚,,,1,1,0,0,0,,0,qimengxin,982013,NGA
58,783348,1583379275000,1583379275000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,qimengxin,964004,LTU
59,783369,1583379275000,1583379275000,,2,欧洲,10,摩纳哥,,,1,1,0,0,0,,0,qimengxin,961005,MCO
60,783403,1583379275000,1583379275000,,2,欧洲,10,卢森堡,,,1,1,0,0,0,,0,qimengxin,961004,LUX
61,783406,1583379275000,1583379275000,,2,亚洲,10,亚美尼亚,,,1,1,0,0,0,,0,qimengxin,955002,ARM
62,783408,1583379275000,1583379275000,,2,北美洲,10,多米尼加,,,1,1,0,0,0,,0,qimengxin,974006,DOM
63,783411,1583379275000,1583379275000,,2,欧洲,10,安道尔,,,1,1,0,0,0,,0,qimengxin,965002,AND
64,783412,1583379275000,1583379275000,,2,亚洲,10,沙特阿拉伯,,,1,1,0,0,0,,0,qimengxin,955016,SAU
65,783498,1583379276000,1583379276000,,2,欧洲,10,乌克兰,,,1,1,0,0,0,,0,qimengxin,964007,UKR
66,783500,1583379276000,1583379276000,,2,非洲,10,摩洛哥,,,1,1,0,0,0,,0,qimengxin,981004,MAR
67,783501,1583379276000,1583379276000,,2,亚洲,10,约旦,,,1,1,0,0,0,,0,qimengxin,955010,JOR
68,783553,1583379276000,1583379276000,,2,南美洲,10,智利,,,1,1,0,0,0,,0,qimengxin,973004,CHL
69,783554,1583379276000,1583379276000,,2,南美洲,10,阿根廷,,,1,1,0,0,0,,0,qimengxin,973001,ARG
70,783588,1583379276000,1583379276000,,2,欧洲,10,列支敦士登,,,1,1,0,0,0,,0,qimengxin,963005,LIE
71,783625,1583379276000,1583379276000,,2,非洲,10,突尼斯,,,1,1,0,0,0,,0,qimengxin,981006,TUN
72,783626,1583379276000,1583379276000,,2,欧洲,10,拉脱维亚,,,1,1,0,0,0,,0,qimengxin,964003,LVA
73,783767,1583379276000,1583379276000,,2,欧洲,10,波兰,,,1,1,0,0,0,,0,qimengxin,963006,POL
74,783276,1583379275000,1583379275000,,2,亚洲,9,越南,,,0,16,0,16,0,,0,qimengxin,952011,NVM
75,783277,1583379275000,1583379275000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,qimengxin,953005,NPL
76,783280,1583379275000,1583379275000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,qimengxin,952003,KHM
77,783282,1583379275000,1583379275000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,qimengxin,953007,LKA
