,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,33984,1581429257000,1581429257000,,2,亚洲,6,日本,,,161,0,9,0,,0,zhaijihong,951002
1,33981,1581429257000,1581429257000,,2,亚洲,3,新加坡,,,45,0,7,0,,0,zhaijihong,952009
2,33980,1581429257000,1581429257000,,2,亚洲,2,泰国,,,32,0,10,0,,0,zhaijihong,952010
3,33985,1581429257000,1581429257000,,2,亚洲,7,韩国,,,28,0,3,0,,0,zhaijihong,951004
4,33982,1581429257000,1581429257000,,2,亚洲,4,马来西亚,,,18,0,3,0,,0,zhaijihong,952007
5,33987,1581429257000,1581429257000,,2,亚洲,9,越南,,,15,0,1,0,,0,zhaijihong,952011
6,33989,1581429257000,1581429257000,,2,大洋洲,10,澳大利亚,,,15,0,3,0,,0,zhaijihong,990001
7,33992,1581429257000,1581429257000,,2,欧洲,10,德国,,,14,0,0,0,,0,zhaijihong,963003
8,33986,1581429257000,1581429257000,,2,北美洲,8,美国,,,13,0,0,0,,0,zhaijihong,971002
9,33983,1581429257000,1581429257000,,2,欧洲,5,法国,,,11,0,0,0,,0,zhaijihong,961002
10,33995,1581429257000,1581429257000,,2,亚洲,10,阿联酋,,,8,0,0,0,,0,zhaijihong,955019
11,33999,1581429257000,1581429257000,,2,欧洲,10,英国,,,8,0,0,0,,0,zhaijihong,961007
12,33990,1581429257000,1581429257000,,2,北美洲,10,加拿大,,,7,0,0,0,,0,zhaijihong,971001
13,33997,1581429257000,1581429257000,,2,亚洲,10,印度,,,3,0,0,0,,0,zhaijihong,953003
14,33998,1581429257000,1581429257000,,2,欧洲,10,意大利,,,3,0,0,0,,0,zhaijihong,965008
15,34003,1581429257000,1581429257000,,2,亚洲,10,菲律宾,,,3,0,0,1,,0,zhaijihong,952008
16,34000,1581429257000,1581429257000,,2,欧洲,10,俄罗斯,,,2,0,0,0,,0,zhaijihong,964006
17,34001,1581429257000,1581429257000,,2,欧洲,10,西班牙,,,2,0,0,0,,0,zhaijihong,965015
18,33988,1581429257000,1581429257000,,2,亚洲,10,尼泊尔,,,1,0,0,0,,0,zhaijihong,953005
19,33991,1581429257000,1581429257000,,2,亚洲,10,柬埔寨,,,1,0,0,0,,0,zhaijihong,952003
20,33993,1581429257000,1581429257000,,2,亚洲,10,斯里兰卡,,,1,0,0,0,,0,zhaijihong,953007
21,33996,1581429257000,1581429257000,,2,欧洲,10,芬兰,,,1,0,0,0,,0,zhaijihong,962002
22,34002,1581429257000,1581429257000,,2,欧洲,10,瑞典,,,1,0,0,0,,0,zhaijihong,962005
23,34027,1581429257000,1581429257000,,2,欧洲,10,比利时,,,1,0,0,0,,0,zhaijihong,961001
