,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
0,1330537.0,1584628163000.0,1584628163000.0,,2,欧洲,10,意大利,,,29725,36728,0,4025,2978,,0.0,hejiashu,965008,ITA,Italy,https://file1.dxycdn.com/2020/0315/993/3402160517102843054-135.json
1,1330539.0,1584628163000.0,1584628163000.0,,2,欧洲,10,西班牙,,,15299,17147,0,1081,767,,0.0,hejiashu,965015,ESP,Spain,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json
2,1330531.0,1584628163000.0,1584628163000.0,,2,欧洲,10,德国,,,11810,11973,0,135,28,,0.0,hejiashu,963003,DEU,Germany,https://file1.dxycdn.com/2020/0315/631/3402160538577680475-135.json
3,1330567.0,1584628163000.0,1584628163000.0,,2,亚洲,10,伊朗,,,11144,18407,0,5979,1284,,0.0,hejiashu,955007,IRN,Iran (Islamic Republic of),https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json
4,1330525.0,1584628163000.0,1584628163000.0,,2,北美洲,8,美国,,,9156,9415,0,106,153,,0.0,hejiashu,971002,USA,United States of America,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json
5,1330522.0,1584628163000.0,1584628163000.0,,2,欧洲,5,法国,,,8268,9134,0,602,264,,0.0,hejiashu,961002,FRA,France,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json
6,,,,,2,亚洲,999,中国,,,7452,81263,0,70561,3250,,,,951001,CHN,China,https://file1.dxycdn.com/2020/0315/383/3402160527840261656-135.json
7,1330524.0,1584628163000.0,1584628163000.0,,2,亚洲,7,韩国,,,6527,8565,0,1947,91,,0.0,hejiashu,951004,KOR,Republic of Korea,https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json
8,1330576.0,1584628163000.0,1584628163000.0,,2,欧洲,10,瑞士,,,3402,3438,0,3,33,,0.0,hejiashu,963008,CHE,Switzerland,https://file1.dxycdn.com/2020/0315/786/3402160525692954837-135.json
9,1330631.0,1584628163000.0,1584628163000.0,,2,欧洲,10,英国,,,2457,2626,0,65,104,,0.0,hejiashu,961007,GBR,The United Kingdom,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json
