,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
0,1028450,1584091329000,1584091329000,,2,欧洲,10,意大利,,,12839,15113,0,1258,1016,,0,zhaocy,965008,ITA
1,1028437,1584091329000,1584091329000,,2,亚洲,7,韩国,,,7397,7979,0,510,72,,0,zhaocy,951004,KOR
2,1028480,1584091329000,1584091329000,,2,亚洲,10,伊朗,,,6370,10075,0,3276,429,,0,zhaocy,955007,IRN
3,1028435,1584091329000,1584091329000,,2,欧洲,5,法国,,,2803,2876,0,12,61,,0,zhaocy,961002,FRA
4,1028444,1584091329000,1584091329000,,2,欧洲,10,德国,,,2735,2754,0,14,5,,0,zhaocy,963003,DEU
5,1028452,1584091329000,1584091329000,,2,欧洲,10,西班牙,,,2731,3004,0,189,84,,0,zhaocy,965015,ESP
6,1028438,1584091329000,1584091329000,,2,北美洲,8,美国,,,1410,1459,0,10,39,,0,zhaocy,971002,USA
7,1028489,1584091329000,1584091329000,,2,欧洲,10,瑞士,,,809,815,0,3,3,,0,zhaocy,963008,CHE
8,1028498,1584091329000,1584091329000,,2,欧洲,10,挪威,,,703,703,0,0,0,,0,zhaocy,962004,NOR
9,1028453,1584091329000,1584091329000,,2,欧洲,10,瑞典,,,675,683,0,0,8,,0,zhaocy,962005,SWE
10,1028497,1584091329000,1584091329000,,2,欧洲,10,丹麦,,,673,674,0,1,0,,0,zhaocy,962001,DNK
11,1028500,1584091329000,1584091329000,,2,欧洲,10,荷兰,,,609,614,0,0,5,,0,zhaocy,961006,NLD
12,1028544,1584091329000,1584091329000,,2,欧洲,10,英国,,,576,590,0,8,6,,0,zhaocy,961007,GBR
13,1028436,1584091329000,1584091329000,,2,亚洲,6,日本,,,569,690,0,102,19,,0,zhaocy,951002,JPN
14,1028465,1584091329000,1584091329000,,2,欧洲,10,比利时,,,395,399,0,1,3,,0,zhaocy,961001,BEL
15,1028491,1584091329000,1584091329000,,2,欧洲,10,奥地利,,,356,361,0,4,1,,0,zhaocy,963001,AUT
16,1028545,1584091329000,1584091329000,,2,亚洲,10,卡塔尔,,,265,265,0,0,0,,0,zhaocy,955015,QAT
17,1028467,1584091329000,1584091329000,,2,其他,10,钻石公主号邮轮,,,263,697,0,427,7,,0,zhaocy,0,Princess
