,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,317248,1582121533000,1582121533000,,2,其他,10,钻石公主号邮轮,,,621,621,0,0,0,,0,qihongyue,0
1,317184,1582121533000,1582121533000,,2,亚洲,6,日本,,,71,84,0,12,1,,0,qihongyue,951002
2,317181,1582121533000,1582121533000,,2,亚洲,3,新加坡,,,50,84,0,34,0,,0,qihongyue,952009
3,317185,1582121533000,1582121533000,,2,亚洲,7,韩国,,,35,51,0,16,0,,0,qihongyue,951004
4,317180,1582121533000,1582121533000,,2,亚洲,2,泰国,,,20,35,0,15,0,,0,qihongyue,952010
5,317192,1582121533000,1582121533000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,qihongyue,963003
6,317186,1582121533000,1582121533000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,qihongyue,971002
7,317187,1582121533000,1582121533000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,qihongyue,952011
8,317182,1582121533000,1582121533000,,2,亚洲,4,马来西亚,,,7,22,0,15,0,,0,qihongyue,952007
9,317183,1582121533000,1582121533000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,qihongyue,961002
10,317190,1582121533000,1582121533000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,qihongyue,971001
11,317189,1582121533000,1582121533000,,2,大洋洲,10,澳大利亚,,,5,15,0,10,0,,0,qihongyue,990001
12,317195,1582121533000,1582121533000,,2,亚洲,10,阿联酋,,,5,9,0,4,0,,0,qihongyue,955019
13,317198,1582121533000,1582121533000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,qihongyue,965008
14,317199,1582121533000,1582121533000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,qihongyue,961007
15,317202,1582121533000,1582121533000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,qihongyue,962005
16,317203,1582121533000,1582121533000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,qihongyue,952008
17,317230,1582121533000,1582121533000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,qihongyue,981002
18,317188,1582121533000,1582121533000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,qihongyue,953005
19,317191,1582121533000,1582121533000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,qihongyue,952003
20,317193,1582121533000,1582121533000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,qihongyue,953007
21,317196,1582121533000,1582121533000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,qihongyue,962002
22,317197,1582121533000,1582121533000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,qihongyue,953003
23,317200,1582121533000,1582121533000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,qihongyue,964006
24,317201,1582121533000,1582121533000,,2,欧洲,10,西班牙,,,0,2,0,2,0,,0,qihongyue,965015
25,317214,1582121533000,1582121533000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,qihongyue,961001
