,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
0,1060059,1584192669000,1584192669000,,2,欧洲,10,意大利,,,14955,17660,0,1439,1266,,0,zhaocy,965008,ITA
1,1060089,1584192669000,1584192669000,,2,亚洲,10,伊朗,,,8686,12729,0,3529,514,,0,zhaocy,955007,IRN
2,1060046,1584192669000,1584192669000,,2,亚洲,7,韩国,,,7504,8086,0,510,72,,0,zhaocy,951004,KOR
3,1060061,1584192669000,1584192669000,,2,欧洲,10,西班牙,,,4923,5232,0,189,120,,0,zhaocy,965015,ESP
4,1060044,1584192669000,1584192669000,,2,欧洲,5,法国,,,3570,3661,0,12,79,,0,zhaocy,961002,FRA
5,1060053,1584192669000,1584192669000,,2,欧洲,10,德国,,,3096,3117,0,14,7,,0,zhaocy,963003,DEU
6,1060047,1584192669000,1584192669000,,2,北美洲,8,美国,,,2033,2084,0,10,41,,0,zhaocy,971002,USA
7,1060098,1584192669000,1584192669000,,2,欧洲,10,瑞士,,,1182,1189,0,3,4,,0,zhaocy,963008,CHE
8,1060106,1584192669000,1584192669000,,2,欧洲,10,丹麦,,,800,801,0,1,0,,0,zhaocy,962001,DNK
9,1060109,1584192669000,1584192669000,,2,欧洲,10,荷兰,,,799,804,0,0,5,,0,zhaocy,961006,NLD
10,1060153,1584192669000,1584192669000,,2,欧洲,10,英国,,,784,798,0,8,6,,0,zhaocy,961007,GBR
11,1060062,1584192669000,1584192669000,,2,欧洲,10,瑞典,,,767,775,0,0,8,,0,zhaocy,962005,SWE
12,1060107,1584192669000,1584192669000,,2,欧洲,10,挪威,,,750,750,0,0,0,,0,zhaocy,962004,NOR
13,1060074,1584192669000,1584192669000,,2,欧洲,10,比利时,,,685,689,0,1,3,,0,zhaocy,961001,BEL
14,1060045,1584192669000,1584192669000,,2,亚洲,6,日本,,,590,746,0,135,21,,0,zhaocy,951002,JPN
15,1060100,1584192669000,1584192669000,,2,欧洲,10,奥地利,,,497,504,0,6,1,,0,zhaocy,963001,AUT
16,1060154,1584192669000,1584192669000,,2,亚洲,10,卡塔尔,,,338,338,0,0,0,,0,zhaocy,955015,QAT
17,1060076,1584192669000,1584192669000,,2,其他,10,钻石公主号邮轮,,,263,697,0,427,7,,0,zhaocy,0,Princess
18,1060050,1584192669000,1584192669000,,2,大洋洲,10,澳大利亚,,,209,236,0,24,3,,0,zhaocy,990001,AUS
19,1060043,1584192669000,1584192669000,,2,亚洲,4,马来西亚,,,206,238,0,32,0,,0,zhaocy,952007,MYS
20,1060051,1584192669000,1584192669000,,2,北美洲,10,加拿大,,,193,198,0,4,1,,0,zhaocy,971001,CAN
21,1060101,1584192669000,1584192669000,,2,欧洲,10,希腊,,,189,190,0,0,1,,0,zhaocy,965007,GRC
22,1060094,1584192669000,1584192669000,,2,亚洲,10,巴林,,,176,211,0,35,0,,0,zhaocy,955004,BHR
23,1060057,1584192669000,1584192669000,,2,欧洲,10,芬兰,,,154,155,0,1,0,,0,zhaocy,962002,FIN
24,1060090,1584192669000,1584192669000,,2,亚洲,10,以色列,,,152,154,0,2,0,,0,zhaocy,955009,ISR
25,1060160,1584192670000,1584192670000,,2,欧洲,10,捷克,,,141,141,0,0,0,,0,zhaocy,963002,CZE
26,1060301,1584192670000,1584192670000,,2,欧洲,10,斯洛文尼亚,,,141,141,0,0,0,,0,zhaocy,965014,SVN
27,1060116,1584192669000,1584192669000,,2,欧洲,10,冰岛,,,128,128,0,0,0,,0,zhaocy,962003,ISL
28,1060042,1584192669000,1584192669000,,2,亚洲,3,新加坡,,,118,200,0,82,0,,0,zhaocy,952009,SGP
29,1060093,1584192669000,1584192669000,,2,亚洲,10,科威特,,,100,100,0,0,0,,0,zhaocy,955011,KWT
30,1060103,1584192669000,1584192669000,,2,南美洲,10,巴西,,,98,98,0,0,0,,0,zhaocy,973003,BRA
31,1060104,1584192669000,1584192669000,,2,欧洲,10,罗马尼亚,,,94,97,0,3,0,,0,zhaocy,965011,ROU
32,1060162,1584192670000,1584192670000,,2,亚洲,10,印度尼西亚,,,93,96,0,2,1,,0,zhaocy,952005,IDN
33,1060063,1584192669000,1584192669000,,2,亚洲,10,菲律宾,,,91,98,0,1,6,,0,zhaocy,952008,PHL
34,1060091,1584192669000,1584192669000,,2,亚洲,10,黎巴嫩,,,89,93,0,1,3,,0,zhaocy,955012,LBN
35,1060155,1584192669000,1584192669000,,2,欧洲,10,爱尔兰,,,89,90,0,0,1,,0,zhaocy,961003,IRL
36,1060165,1584192670000,1584192670000,,2,亚洲,10,沙特阿拉伯,,,85,86,0,1,0,,0,zhaocy,955016,SAU
37,1060058,1584192669000,1584192669000,,2,亚洲,10,印度,,,81,84,0,3,0,,0,zhaocy,953003,IND
38,1060075,1584192669000,1584192669000,,2,非洲,10,埃及,,,70,93,0,21,2,,0,zhaocy,981002,EGY
39,1060105,1584192669000,1584192669000,,2,欧洲,10,爱沙尼亚,,,68,68,0,0,0,,0,zhaocy,964002,EST
40,1060299,1584192670000,1584192670000,,2,欧洲,10,波兰,,,68,68,0,0,0,,0,zhaocy,963006,POL
41,1060158,1584192669000,1584192669000,,2,欧洲,10,圣马力诺,,,66,73,0,2,5,,0,zhaocy,965012,SMR
42,1060056,1584192669000,1584192669000,,2,亚洲,10,阿联酋,,,65,85,0,20,0,,0,zhaocy,955019,ARE
43,1060092,1584192669000,1584192669000,,2,亚洲,10,伊拉克,,,60,93,0,24,9,,0,zhaocy,955008,IRQ
44,1060207,1584192670000,1584192670000,,2,欧洲,10,葡萄牙,,,59,59,0,0,0,,0,zhaocy,965010,PRT
45,1060041,1584192669000,1584192669000,,2,亚洲,2,泰国,,,47,82,0,34,1,,0,zhaocy,952010,THA
46,1060060,1584192669000,1584192669000,,2,欧洲,10,俄罗斯,,,44,47,0,3,0,,0,zhaocy,964006,RUS
47,1060219,1584192670000,1584192670000,,2,南美洲,10,智利,,,43,43,0,0,0,,0,zhaocy,973004,CHL
48,1060318,1584192670000,1584192670000,,2,欧洲,10,塞尔维亚,,,41,41,0,0,0,,0,zhaocy,965013,SRB
49,1060416,1584192670000,1584192670000,,2,亚洲,10,文莱,,,40,40,0,0,0,,0,zhaocy,952002,BRN
50,1060048,1584192669000,1584192669000,,2,亚洲,9,越南,,,37,53,0,16,0,,0,zhaocy,952011,VNM
51,1060097,1584192669000,1584192669000,,2,欧洲,10,克罗地亚,,,37,37,0,0,0,,0,zhaocy,965005,HRV
52,1060314,1584192670000,1584192670000,,2,亚洲,10,巴勒斯坦,,,35,35,0,0,0,,0,zhaocy,955014,PSE
53,1060414,1584192670000,1584192670000,,2,北美洲,10,巴拿马,,,35,36,0,0,1,,0,zhaocy,972007,PAN
54,1060332,1584192670000,1584192670000,,2,欧洲,10,阿尔巴尼亚,,,33,33,0,0,0,,0,zhaocy,965001,ALB
55,1060326,1584192670000,1584192670000,,2,欧洲,10,斯洛伐克,,,32,32,0,0,0,,0,zhaocy,963007,SVK
56,1060220,1584192670000,1584192670000,,2,南美洲,10,阿根廷,,,31,34,0,1,2,,0,zhaocy,973001,ARG
57,1060329,1584192670000,1584192670000,,2,欧洲,10,保加利亚,,,30,30,0,0,0,,0,zhaocy,965004,BGR
58,1060102,1584192669000,1584192669000,,2,亚洲,10,巴基斯坦,,,28,29,0,1,0,,0,zhaocy,953006,PAK
59,1060320,1584192670000,1584192670000,,2,南美洲,10,秘鲁,,,28,28,0,0,0,,0,zhaocy,973008,PER
60,1060099,1584192669000,1584192669000,,2,非洲,10,阿尔及利亚,,,25,37,0,10,2,,0,zhaocy,981001,DZA
61,1060115,1584192669000,1584192669000,,2,北美洲,10,墨西哥,,,25,26,0,1,0,,0,zhaocy,971003,MEX
62,1060163,1584192670000,1584192670000,,2,欧洲,10,格鲁吉亚,,,25,25,0,0,0,,0,zhaocy,955006,GEO
63,1060319,1584192670000,1584192670000,,2,非洲,10,南非,,,24,24,0,0,0,,0,zhaocy,984011,ZAF
64,1060157,1584192669000,1584192669000,,2,南美洲,10,厄瓜多尔,,,22,23,0,0,1,,0,zhaocy,973006,ECU
65,1060321,1584192670000,1584192670000,,2,北美洲,10,哥斯达黎加,,,22,22,0,0,0,,0,zhaocy,972002,CRI
66,1060333,1584192670000,1584192670000,,2,亚洲,10,塞浦路斯,,,21,21,0,0,0,,0,zhaocy,955005,CYP
67,1060204,1584192670000,1584192670000,,2,非洲,10,塞内加尔,,,19,21,0,2,0,,0,zhaocy,982014,SEN
68,1060248,1584192670000,1584192670000,,2,欧洲,10,拉脱维亚,,,18,18,0,0,0,,0,zhaocy,964003,LVA
69,1060300,1584192670000,1584192670000,,2,欧洲,10,匈牙利,,,18,19,0,1,0,,0,zhaocy,963004,HUN
70,1060114,1584192669000,1584192669000,,2,亚洲,10,阿塞拜疆,,,15,19,0,3,1,,0,zhaocy,955003,AZE
71,1060108,1584192669000,1584192669000,,2,欧洲,10,北马其顿,,,13,13,0,0,0,,0,zhaocy,0,MKD
72,1060159,1584192670000,1584192670000,,2,亚洲,10,亚美尼亚,,,13,13,0,0,0,,0,zhaocy,955002,ARM
73,1060247,1584192670000,1584192670000,,2,非洲,10,突尼斯,,,13,13,0,0,0,,0,zhaocy,981006,TUN
74,1060302,1584192670000,1584192670000,,2,欧洲,10,波黑,,,13,13,0,0,0,,0,zhaocy,965003,BIH
75,1060322,1584192670000,1584192670000,,2,南美洲,10,哥伦比亚,,,13,13,0,0,0,,0,zhaocy,973005,COL
76,1060096,1584192669000,1584192669000,,2,亚洲,10,阿曼,,,11,20,0,9,0,,0,zhaocy,955013,OMN
77,1060095,1584192669000,1584192669000,,2,亚洲,10,阿富汗,,,10,10,0,0,0,,0,zhaocy,955001,AFG
78,1060113,1584192669000,1584192669000,,2,欧洲,10,白俄罗斯,,,10,12,0,2,0,,0,zhaocy,964001,BLR
79,1060325,1584192670000,1584192670000,,2,亚洲,10,马尔代夫,,,10,10,0,0,0,,0,zhaocy,953004,MDV
80,1060330,1584192670000,1584192670000,,2,欧洲,10,摩尔多瓦,,,8,8,0,0,0,,0,zhaocy,964005,MDA
