,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
0,931197,1583802418000,1583802418000,,2,欧洲,10,意大利,,,7985,9172,0,724,463,,0,wangbingbing,965008,ITA
1,931184,1583802418000,1583802418000,,2,亚洲,7,韩国,,,7259,7478,0,166,53,,0,wangbingbing,951004,KOR
2,931227,1583802418000,1583802418000,,2,亚洲,10,伊朗,,,4730,7161,0,2194,237,,0,wangbingbing,955007,IRN
3,931182,1583802418000,1583802418000,,2,欧洲,5,法国,,,1375,1412,0,12,25,,0,wangbingbing,961002,FRA
4,931199,1583802418000,1583802418000,,2,欧洲,10,西班牙,,,1174,1204,0,2,28,,0,wangbingbing,965015,ESP
5,931191,1583802418000,1583802418000,,2,欧洲,10,德国,,,1123,1139,0,14,2,,0,wangbingbing,963003,DEU
6,931214,1583802418000,1583802418000,,2,其他,10,钻石公主号邮轮,,,690,696,0,0,6,,0,wangbingbing,0,Princess
7,931185,1583802418000,1583802418000,,2,北美洲,8,美国,,,541,572,0,10,21,,0,wangbingbing,971002,USA
8,931183,1583802418000,1583802418000,,2,亚洲,6,日本,,,459,514,0,46,9,,0,wangbingbing,951002,JPN
9,931291,1583802418000,1583802418000,,2,欧洲,10,英国,,,309,319,0,8,2,,0,wangbingbing,961007,GBR
10,931236,1583802418000,1583802418000,,2,欧洲,10,瑞士,,,307,312,0,3,2,,0,wangbingbing,963008,CHE
11,931200,1583802418000,1583802418000,,2,欧洲,10,瑞典,,,260,260,0,0,0,,0,wangbingbing,962005,SWE
12,931212,1583802418000,1583802418000,,2,欧洲,10,比利时,,,238,239,0,1,0,,0,wangbingbing,961001,BEL
13,931247,1583802418000,1583802418000,,2,欧洲,10,荷兰,,,187,188,0,0,1,,0,wangbingbing,961006,NLD
14,931245,1583802418000,1583802418000,,2,欧洲,10,挪威,,,169,169,0,0,0,,0,wangbingbing,962004,NOR
15,931238,1583802418000,1583802418000,,2,欧洲,10,奥地利,,,129,131,0,2,0,,0,wangbingbing,963001,AUT
16,931232,1583802418000,1583802418000,,2,亚洲,10,巴林,,,95,109,0,14,0,,0,wangbingbing,955004,BHR
17,931181,1583802418000,1583802418000,,2,亚洲,4,马来西亚,,,94,117,0,23,0,,0,wangbingbing,952007,MYS
18,931239,1583802418000,1583802418000,,2,欧洲,10,希腊,,,84,84,0,0,0,,0,wangbingbing,965007,GRC
19,931189,1583802418000,1583802418000,,2,北美洲,10,加拿大,,,72,77,0,4,1,,0,wangbingbing,971001,CAN
20,931254,1583802418000,1583802418000,,2,欧洲,10,冰岛,,,60,60,0,0,0,,0,wangbingbing,962003,ISL
21,931188,1583802418000,1583802418000,,2,大洋洲,10,澳大利亚,,,58,83,0,22,3,,0,wangbingbing,990001,AUS
22,931231,1583802418000,1583802418000,,2,亚洲,10,科威特,,,58,58,0,0,0,,0,wangbingbing,955011,KWT
23,931244,1583802418000,1583802418000,,2,欧洲,10,丹麦,,,58,59,0,1,0,,0,wangbingbing,962001,DNK
24,931180,1583802418000,1583802418000,,2,亚洲,3,新加坡,,,56,138,0,82,0,,0,wangbingbing,952009,SGP
25,931230,1583802418000,1583802418000,,2,亚洲,10,伊拉克,,,51,67,0,9,7,,0,wangbingbing,955008,IRQ
26,931296,1583802418000,1583802418000,,2,欧洲,10,圣马力诺,,,49,51,0,0,2,,0,wangbingbing,965012,SMR
27,931228,1583802418000,1583802418000,,2,亚洲,10,以色列,,,48,50,0,2,0,,0,wangbingbing,955009,ISR
28,931213,1583802418000,1583802418000,,2,非洲,10,埃及,,,47,59,0,12,0,,0,wangbingbing,981002,EGY
29,931196,1583802418000,1583802418000,,2,亚洲,10,印度,,,44,47,0,3,0,,0,wangbingbing,953003,IND
30,931194,1583802418000,1583802418000,,2,亚洲,10,阿联酋,,,38,45,0,7,0,,0,wangbingbing,955019,ARE
31,931298,1583802418000,1583802418000,,2,欧洲,10,捷克,,,38,38,0,0,0,,0,wangbingbing,963002,CZE
32,931229,1583802418000,1583802418000,,2,亚洲,10,黎巴嫩,,,31,32,0,1,0,,0,wangbingbing,955012,LBN
33,931356,1583802418000,1583802418000,,2,欧洲,10,葡萄牙,,,30,30,0,0,0,,0,wangbingbing,965010,PRT
34,931195,1583802418000,1583802418000,,2,欧洲,10,芬兰,,,29,30,0,1,0,,0,wangbingbing,962002,FIN
35,931241,1583802418000,1583802418000,,2,南美洲,10,巴西,,,25,25,0,0,0,,0,wangbingbing,973003,BRA
36,931293,1583802418000,1583802418000,,2,欧洲,10,爱尔兰,,,24,24,0,0,0,,0,wangbingbing,961003,IRL
37,931450,1583802418000,1583802418000,,2,欧洲,10,斯洛文尼亚,,,23,23,0,0,0,,0,wangbingbing,965014,SVN
38,931201,1583802418000,1583802418000,,2,亚洲,10,菲律宾,,,22,24,0,1,1,,0,wangbingbing,952008,PHL
39,931471,1583802418000,1583802418000,,2,其他,10,至尊公主邮轮,,,21,21,0,0,0,,0,wangbingbing,0,Grand Princess
40,931303,1583802418000,1583802418000,,2,亚洲,10,沙特阿拉伯,,,20,20,0,0,0,,0,wangbingbing,955016,SAU
41,931237,1583802418000,1583802418000,,2,非洲,10,阿尔及利亚,,,19,19,0,0,0,,0,wangbingbing,981001,DZA
42,931464,1583802418000,1583802418000,,2,亚洲,10,巴勒斯坦,,,19,19,0,0,0,,0,wangbingbing,955014,PSE
43,931179,1583802418000,1583802418000,,2,亚洲,2,泰国,,,18,50,0,31,1,,0,wangbingbing,952010,THA
44,931292,1583802418000,1583802418000,,2,亚洲,10,卡塔尔,,,18,18,0,0,0,,0,wangbingbing,955015,QAT
45,931448,1583802418000,1583802418000,,2,欧洲,10,波兰,,,17,17,0,0,0,,0,wangbingbing,963006,POL
46,931240,1583802418000,1583802418000,,2,亚洲,10,巴基斯坦,,,15,16,0,1,0,,0,wangbingbing,953006,PAK
47,931234,1583802418000,1583802418000,,2,亚洲,10,阿曼,,,14,16,0,2,0,,0,wangbingbing,955013,OMN
48,931242,1583802418000,1583802418000,,2,欧洲,10,罗马尼亚,,,14,17,0,3,0,,0,wangbingbing,965011,ROU
49,931235,1583802418000,1583802418000,,2,欧洲,10,克罗地亚,,,13,13,0,0,0,,0,wangbingbing,965005,HRV
50,931295,1583802418000,1583802418000,,2,南美洲,10,厄瓜多尔,,,13,13,0,0,0,,0,wangbingbing,973006,ECU
51,931301,1583802418000,1583802418000,,2,亚洲,10,格鲁吉亚,,,13,13,0,0,0,,0,wangbingbing,955006,GEO
52,931369,1583802418000,1583802418000,,2,南美洲,10,阿根廷,,,11,12,0,0,1,,0,wangbingbing,973001,ARG
53,931243,1583802418000,1583802418000,,2,欧洲,10,爱沙尼亚,,,10,10,0,0,0,,0,wangbingbing,964002,EST
54,931449,1583802418000,1583802418000,,2,欧洲,10,匈牙利,,,9,9,0,0,0,,0,wangbingbing,963004,HUN
55,931472,1583802418000,1583802418000,,2,北美洲,10,哥斯达黎加,,,9,9,0,0,0,,0,wangbingbing,972002,CRI
56,931368,1583802418000,1583802418000,,2,南美洲,10,智利,,,8,8,0,0,0,,0,wangbingbing,973004,CHL
57,931198,1583802418000,1583802418000,,2,欧洲,10,俄罗斯,,,7,10,0,3,0,,0,wangbingbing,964006,RUS
58,931508,1583802418000,1583802418000,,2,欧洲,10,斯洛伐克,,,7,7,0,0,0,,0,wangbingbing,963007,SVK
59,931251,1583802418000,1583802418000,,2,欧洲,10,白俄罗斯,,,6,6,0,0,0,,0,wangbingbing,964001,BLR
60,931253,1583802418000,1583802418000,,2,北美洲,10,墨西哥,,,6,7,0,1,0,,0,wangbingbing,971003,MEX
61,931397,1583802418000,1583802418000,,2,欧洲,10,拉脱维亚,,,6,6,0,0,0,,0,wangbingbing,964003,LVA
62,931470,1583802418000,1583802418000,,2,南美洲,10,秘鲁,,,6,6,0,0,0,,0,wangbingbing,973008,PER
63,931507,1583802418000,1583802418000,,2,亚洲,10,马尔代夫,,,6,6,0,0,0,,0,wangbingbing,953004,MDV
64,931186,1583802418000,1583802418000,,2,亚洲,9,越南,,,5,21,0,16,0,,0,wangbingbing,952011,VNM
65,931250,1583802418000,1583802418000,,2,大洋洲,10,新西兰,,,5,5,0,0,0,,0,wangbingbing,990007,NZL
66,931294,1583802418000,1583802418000,,2,欧洲,10,卢森堡,,,5,5,0,0,0,,0,wangbingbing,961004,LUX
67,931396,1583802418000,1583802418000,,2,非洲,10,突尼斯,,,5,5,0,0,0,,0,wangbingbing,981006,TUN
68,931233,1583802418000,1583802418000,,2,亚洲,10,阿富汗,,,4,4,0,0,0,,0,wangbingbing,955001,AFG
69,931300,1583802418000,1583802418000,,2,亚洲,10,印度尼西亚,,,4,4,0,0,0,,0,wangbingbing,952005,IDN
70,931353,1583802418000,1583802418000,,2,非洲,10,塞内加尔,,,4,4,0,0,0,,0,wangbingbing,982014,SEN
71,931246,1583802418000,1583802418000,,2,欧洲,10,北马其顿,,,3,3,0,0,0,,0,wangbingbing,0,MKD
72,931252,1583802418000,1583802418000,,2,亚洲,10,阿塞拜疆,,,3,3,0,0,0,,0,wangbingbing,955003,AZE
73,931452,1583802418000,1583802418000,,2,欧洲,10,波黑,,,3,3,0,0,0,,0,wangbingbing,965003,BIH
74,931248,1583802418000,1583802418000,,2,非洲,10,尼日利亚,,,2,2,0,0,0,,0,wangbingbing,982013,NGA
75,931467,1583802418000,1583802418000,,2,非洲,10,喀麦隆,,,2,2,0,0,0,,0,wangbingbing,983001,CMR
76,931468,1583802418000,1583802418000,,2,欧洲,10,塞尔维亚,,,2,2,0,0,0,,0,wangbingbing,965013,SRB
77,931469,1583802418000,1583802418000,,2,非洲,10,南非,,,2,2,0,0,0,,0,wangbingbing,984011,ZAF
78,931545,1583802418000,1583802418000,,2,欧洲,10,保加利亚,,,2,2,0,0,0,,0,wangbingbing,965004,BGR
79,931586,1583802418000,1583802418000,,2,非洲,10,布基纳法索,,,2,2,0,0,0,,0,wangbingbing,982002,BFA
80,931587,1583802418000,1583802418000,,2,欧洲,10,阿尔巴尼亚,,,2,2,0,0,0,,0,wangbingbing,965001,ALB
81,931588,1583802418000,1583802418000,,2,亚洲,10,塞浦路斯,,,2,2,0,0,0,,0,wangbingbing,955005,CYP
82,931190,1583802418000,1583802418000,,2,亚洲,10,柬埔寨,,,1,2,0,1,0,,0,wangbingbing,952003,KHM
83,931249,1583802418000,1583802418000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,wangbingbing,964004,LTU
84,931270,1583802418000,1583802418000,,2,欧洲,10,摩纳哥,,,1,1,0,0,0,,0,wangbingbing,961005,MCO
85,931297,1583802418000,1583802418000,,2,亚洲,10,亚美尼亚,,,1,1,0,0,0,,0,wangbingbing,955002,ARM
86,931299,1583802418000,1583802418000,,2,北美洲,10,多米尼加,,,1,1,0,0,0,,0,wangbingbing,974006,DOM
87,931302,1583802418000,1583802418000,,2,欧洲,10,安道尔,,,1,1,0,0,0,,0,wangbingbing,965002,AND
88,931352,1583802418000,1583802418000,,2,欧洲,10,乌克兰,,,1,1,0,0,0,,0,wangbingbing,964007,UKR
89,931354,1583802418000,1583802418000,,2,非洲,10,摩洛哥,,,1,1,0,0,0,,0,wangbingbing,981004,MAR
90,931355,1583802418000,1583802418000,,2,亚洲,10,约旦,,,1,1,0,0,0,,0,wangbingbing,955010,JOR
91,931385,1583802418000,1583802418000,,2,欧洲,10,列支敦士登,,,1,1,0,0,0,,0,wangbingbing,963005,LIE
92,931465,1583802418000,1583802418000,,2,亚洲,10,不丹,,,1,1,0,0,0,,0,wangbingbing,953002,BTN
93,931466,1583802418000,1583802418000,,2,欧洲,10,梵蒂冈,,,1,1,0,0,0,,0,wangbingbing,965017,VAT
94,931473,1583802418000,1583802418000,,2,南美洲,10,哥伦比亚,,,1,1,0,0,0,,0,wangbingbing,973005,COL
95,931505,1583802418000,1583802418000,,2,非洲,10,多哥,,,1,1,0,0,0,,0,wangbingbing,982016,TGO
96,931506,1583802418000,1583802418000,,2,南美洲,10,巴拉圭,,,1,1,0,0,0,,0,wangbingbing,973009,PRY
97,931509,1583802418000,1583802418000,,2,欧洲,10,马耳他,,,1,1,0,0,0,,0,wangbingbing,965019,MLT
98,931546,1583802418000,1583802418000,,2,欧洲,10,摩尔多瓦,,,1,1,0,0,0,,0,wangbingbing,964005,MDA
99,931187,1583802418000,1583802418000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,wangbingbing,953005,NPL
100,931192,1583802418000,1583802418000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,wangbingbing,953007,LKA
