,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo
19,1600421.0,1584941547000.0,1584941547000.0,,2,欧洲,10,丹麦,,,1381,1395,0,1,13,,0.0,hejiashu,962001,DNK,Denmark,https://file1.dxycdn.com/2020/0315/831/3402160489185731552-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
20,1600767.0,1584941547000.0,1584941547000.0,,2,亚洲,10,土耳其,,,1206,1236,0,0,30,,0.0,hejiashu,955018,TUR,Turkey,https://file1.dxycdn.com/2020/0315/952/3402160538577680436-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
21,1600358.0,1584941547000.0,1584941547000.0,,2,亚洲,4,马来西亚,,,1157,1306,0,139,10,,0.0,hejiashu,952007,MYS,Malaysia,https://file1.dxycdn.com/2020/0315/777/3402160506365601260-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
22,1600475.0,1584941547000.0,1584941547000.0,,2,欧洲,10,捷克,,,1113,1120,0,6,1,,0.0,hejiashu,963002,CZE,Czechia,https://file1.dxycdn.com/2020/0315/497/3402160532135229255-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
23,1600405.0,1584941547000.0,1584941547000.0,,2,亚洲,10,以色列,,,1033,1071,0,37,1,,0.0,hejiashu,955009,ISR,Israel,https://file1.dxycdn.com/2020/0315/982/3402160514955536220-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
24,1600470.0,1584941547000.0,1584941547000.0,,2,欧洲,10,爱尔兰,,,902,906,0,0,4,,0.0,hejiashu,961003,IRL,Ireland,https://file1.dxycdn.com/2020/0315/153/3402160510660568721-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
25,1600471.0,1584941547000.0,1584941547000.0,,2,欧洲,10,卢森堡,,,790,798,0,0,8,,0.0,hejiashu,961004,LUX,Luxembourg,https://file1.dxycdn.com/2020/0315/943/3402160538577857289-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
26,1600360.0,1584941547000.0,1584941547000.0,,2,亚洲,6,日本,,,789,1102,0,272,41,,0.0,hejiashu,951002,JPN,Japan,https://file1.dxycdn.com/2020/0315/220/3402160536430373556-135.json,"{'currentConfirmedIncr': -56, 'confirmedIncr': 1, 'curedIncr': 57, 'deadIncr': 0}"
27,1600417.0,1584941547000.0,1584941547000.0,,2,亚洲,10,巴基斯坦,,,755,761,0,2,4,,0.0,hejiashu,953006,PAK,Pakistan,https://file1.dxycdn.com/2020/0315/432/3402160525692777910-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
28,1600356.0,1584941547000.0,1584941547000.0,,2,亚洲,2,泰国,,,668,721,0,52,1,,0.0,hejiashu,952010,THA,Thailand,https://file1.dxycdn.com/2020/0315/926/3402160512808052473-135.json,"{'currentConfirmedIncr': 115, 'confirmedIncr': 122, 'curedIncr': 7, 'deadIncr': 0}"
29,1600534.0,1584941547000.0,1584941547000.0,,2,南美洲,10,智利,,,623,632,0,8,1,,0.0,hejiashu,973004,CHL,Chile,https://file1.dxycdn.com/2020/0315/808/3402160527840261646-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
30,1600372.0,1584941547000.0,1584941547000.0,,2,欧洲,10,芬兰,,,615,626,0,10,1,,0.0,hejiashu,962002,FIN,Finland,https://file1.dxycdn.com/2020/0315/473/3402160538577857276-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
31,1600614.0,1584941547000.0,1584941547000.0,,2,欧洲,10,波兰,,,614,634,0,13,7,,0.0,hejiashu,963006,POL,Poland,https://file1.dxycdn.com/2020/0315/811/3402160506365424422-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
32,1600416.0,1584941547000.0,1584941547000.0,,2,欧洲,10,希腊,,,590,624,0,19,15,,0.0,hejiashu,965007,GRC,Greece,https://file1.dxycdn.com/2020/0315/800/3402160534282889817-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
33,1600431.0,1584941547000.0,1584941547000.0,,2,欧洲,10,冰岛,,,567,568,0,0,1,,0.0,hejiashu,962003,ISL,Iceland,https://file1.dxycdn.com/2020/0315/786/3402160514955359317-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
34,1600472.0,1584941547000.0,1584941547000.0,,2,南美洲,10,厄瓜多尔,,,499,506,0,0,7,,0.0,hejiashu,973006,ECU,Ecuador,https://file1.dxycdn.com/2020/0315/922/3402160517103019900-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
35,1600480.0,1584941547000.0,1584941547000.0,,2,亚洲,10,沙特阿拉伯,,,495,511,0,16,0,,0.0,hejiashu,955016,SAU,Saudi Arabia,https://file1.dxycdn.com/2020/0315/830/3402160536430373532-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
36,1600469.0,1584941547000.0,1584941547000.0,,2,亚洲,10,卡塔尔,,,461,494,0,33,0,,0.0,hejiashu,955015,QAT,Qatar,https://file1.dxycdn.com/2020/0315/741/3402160510660391882-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
37,1600477.0,1584941547000.0,1584941547000.0,,2,亚洲,10,印度尼西亚,,,457,514,0,9,48,,0.0,hejiashu,952005,IDN,Indonesia,https://file1.dxycdn.com/2020/0315/308/3402160527840438594-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
38,1600616.0,1584941547000.0,1584941547000.0,,2,欧洲,10,斯洛文尼亚,,,412,414,0,0,2,,0.0,hejiashu,965014,SVN,Slovenia,https://file1.dxycdn.com/2020/0315/527/3402160510660391945-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
39,1600375.0,1584941547000.0,1584941547000.0,,2,欧洲,10,俄罗斯,,,379,396,0,16,1,,0.0,hejiashu,964006,RUS,Russian Federation,https://file1.dxycdn.com/2020/0315/629/3402160517102843039-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
40,1600373.0,1584941547000.0,1584941547000.0,,2,亚洲,10,印度,,,366,396,0,23,7,,0.0,hejiashu,953003,IND,India,https://file1.dxycdn.com/2020/0315/045/3402160534282889835-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
41,1600635.0,1584941547000.0,1584941547000.0,,2,南美洲,10,秘鲁,,,358,363,0,0,5,,0.0,hejiashu,973008,PER,Peru,https://file1.dxycdn.com/2020/0315/005/3402160540725341040-135.json,"{'currentConfirmedIncr': 45, 'confirmedIncr': 45, 'curedIncr': 0, 'deadIncr': 0}"
42,1600378.0,1584941547000.0,1584941547000.0,,2,亚洲,10,菲律宾,,,345,396,0,18,33,,0.0,hejiashu,952008,PHL,Philippines,https://file1.dxycdn.com/2020/0315/180/3402160512807875628-135.json,"{'currentConfirmedIncr': 7, 'confirmedIncr': 16, 'curedIncr': 1, 'deadIncr': 8}"
43,1600419.0,1584941547000.0,1584941547000.0,,2,欧洲,10,罗马尼亚,,,335,367,0,31,1,,0.0,hejiashu,965011,ROU,Romania,https://file1.dxycdn.com/2020/0315/131/3402160534282712963-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
44,1600420.0,1584941547000.0,1584941547000.0,,2,欧洲,10,爱沙尼亚,,,326,326,0,0,0,,0.0,hejiashu,964002,EST,Estonia,https://file1.dxycdn.com/2020/0315/704/3402160514955359338-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
45,1600357.0,1584941547000.0,1584941547000.0,,2,亚洲,3,新加坡,,,313,455,0,140,2,,0.0,hejiashu,952009,SGP,Singapore,https://file1.dxycdn.com/2020/0315/901/3402160525692777969-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
46,1600430.0,1584941547000.0,1584941547000.0,,2,北美洲,10,墨西哥,,,313,316,0,1,2,,0.0,hejiashu,971003,MEX,Mexico,https://file1.dxycdn.com/2020/0315/566/3402160534282889843-135.json,"{'currentConfirmedIncr': 65, 'confirmedIncr': 65, 'curedIncr': 0, 'deadIncr': 0}"
47,1600690.0,1584941547000.0,1584941547000.0,,2,北美洲,10,巴拿马,,,310,313,0,0,3,,0.0,hejiashu,972007,PAN,Panama,https://file1.dxycdn.com/2020/0315/692/3402160525692954763-135.json,"{'currentConfirmedIncr': 68, 'confirmedIncr': 68, 'curedIncr': 0, 'deadIncr': 0}"
48,1600634.0,1584941547000.0,1584941547000.0,,2,非洲,10,南非,,,274,274,0,0,0,,0.0,hejiashu,984011,ZAF,South Africa,https://file1.dxycdn.com/2020/0315/417/3402160540725164203-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
49,1600535.0,1584941547000.0,1584941547000.0,,2,南美洲,10,阿根廷,,,261,266,0,1,4,,0.0,hejiashu,973001,ARG,Argentina,https://file1.dxycdn.com/2020/0315/963/3402160508513085001-135.json,"{'currentConfirmedIncr': 41, 'confirmedIncr': 41, 'curedIncr': 0, 'deadIncr': 0}"
50,1600390.0,1584941547000.0,1584941547000.0,,2,非洲,10,埃及,,,257,327,0,56,14,,0.0,hejiashu,981002,EGY,Egypt,https://file1.dxycdn.com/2020/0315/246/3402160540725341003-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}"
51,1600637.0,1584941547000.0,1584941547000.0,,2,南美洲,10,哥伦比亚,,,234,235,0,0,1,,0.0,hejiashu,973005,COL,Colombia,https://file1.dxycdn.com/2020/0315/269/3402160512808052512-135.json,"{'currentConfirmedIncr': 25, 'confirmedIncr': 25, 'curedIncr': 0, 'deadIncr': 0}"
